email_id,category,customer_email,expected_reply,urgency,tone
EMAIL_001,Refund,"Hi, I purchased a subscription yesterday but realized I won't use it. Can I please get my money back? My account email is user101@example.com.","Hello, thank you for reaching out. I have reviewed your request, and since you purchased your subscription yesterday and have not used any credits, you are fully eligible for our 24-hour money-back guarantee. I have processed a full refund to your original payment method. The funds should appear in your account within 3 to 5 business days, depending on your bank. Your subscription has been cancelled. Please let us know if we can help you with anything else in the future.",Medium,Polite
EMAIL_002,Refund,You guys charged me twice for my monthly bill! This is unacceptable! I want a refund for the double charge immediately. Fix this now!,"Hello, thank you for contacting us, and please accept our sincere apologies for the billing error. I have investigated your account and confirmed that an extra charge was mistakenly processed on your credit card. I have immediately processed a refund of the duplicate charge ($19.99). You should see the credit back on your statement in 2 to 5 business days. We are reviewing our payment gateway to ensure this doesn't happen again. Thank you for your patience.",High,Angry
EMAIL_003,Refund,"Hey, my son made an unauthorized in-app purchase on my account yesterday. Is there any way I can get a refund for this? It was an accident.","Hello, thank you for reaching out to us. We understand that accidental purchases can happen, especially with children. I have located the transaction from yesterday and have approved a one-time courtesy refund for the unauthorized purchase. The refund has been submitted to your payment method and should clear in 3-5 business days. To prevent future accidental charges, we highly recommend enabling password verification for all purchases in your account settings.",Medium,Friendly
EMAIL_004,Refund,I returned my jacket over two weeks ago and still haven't seen the refund on my credit card. What is taking so long? Order #JACK-8821.,"Hello, thank you for your inquiry regarding order #JACK-8821. I have checked our return system and can see that your jacket was received at our warehouse on the 10th of this month. It appears there was a processing delay in our returns department, for which we sincerely apologize. I have manually finalized the return and issued your full refund of $85.00 today. The billing statement should update within 3 to 5 business days. Thank you for your patience.",High,Frustrated
EMAIL_005,Refund,"I bought your software thinking it had a bulk export feature, but it turns out it doesn't. Since it doesn't fit my needs, I would like to request a refund. Thanks, Mark.","Hello Mark, thank you for writing to us. I am sorry to hear that our software does not support the bulk export feature you require. Since we want our customers to be fully satisfied, I have initiated a full refund for your purchase. Your access will remain active until the end of today. We appreciate your feedback regarding the bulk export feature, and I have shared this request with our product engineering team for future updates. Best of luck with your projects.",Low,Polite
EMAIL_006,Refund,"Can I get a refund for my order #9921? It arrived broken, and I don't want a replacement anymore, just my money back.","Hello, I am incredibly sorry to hear that your order #9921 arrived broken. This is certainly not the standard we strive for. I have processed a full refund for your order, including shipping fees, which should credit back to your payment method in 3-5 business days. You do not need to return the broken item to us; please dispose of it safely. Thank you for letting us know, and we hope to serve you better in the future.",High,Frustrated
EMAIL_007,Refund,I am writing to formally request a refund for order #20391. The services provided did not match the specifications outlined in our contract.,"Hello, thank you for your email. We take contract specifications and customer satisfaction very seriously. I have forwarded your request and contract details to our accounts manager for a formal review. We will contact you within 24 hours to discuss the refund options and ensure we address the discrepancy to your satisfaction. Thank you for your professionalism and patience.",Medium,Professional
EMAIL_008,Order Status,"Hi, I placed an order (#ORD-5541) three days ago but haven't received any shipping notification. Can you tell me when it will ship?","Hello, thank you for checking on your order #ORD-5541. Your order is currently being processed at our warehouse and is packed and ready for shipping. It is scheduled to be picked up by our courier partner later this afternoon. Once it ships, you will receive an email with your tracking number and an estimated delivery date. Please let us know if you need anything else.",Medium,Polite
EMAIL_009,Order Status,Where is my package? Order #4412. It was supposed to be here yesterday and I need it for a birthday party tonight. Is it lost?,"Hello, thank you for reaching out, and I apologize for the delay. I have tracked your package for order #4412 and see that it is currently at your local distribution facility. The carrier has marked it as 'on vehicle for delivery' as of 7:30 AM this morning, meaning it will arrive at your address today, typically by 5:00 PM. Please monitor the delivery status, and let us know if it hasn't arrived by late afternoon so we can contact the carrier directly.",Critical,Urgent
EMAIL_010,Order Status,"Hello! I lost my order confirmation email, but I think my order number was something like #7721. Could you check the status for me? My name is Sarah Jenkins.","Hello Sarah! Thanks for getting in touch. I searched our system using your name and email and located your order, which is indeed #7721. Your package shipped yesterday via USPS and is currently in transit. The tracking link shows an estimated delivery date of this Thursday. I have resent the full order confirmation email with the tracking link to this address for your records. Let us know if you have any other questions!",Low,Friendly
